method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
lora,early,cifar100,42,371812,86170468,0.4315,92.3,92.05,20,0.001,0.0001,0.0,6694.8,634.3
lora,mid,cifar100,42,371812,86170468,0.4315,91.94,92.34,20,0.001,0.0001,0.0,4765.9,540.0
lora,even,cifar100,42,371812,86170468,0.4315,92.34,91.92,20,0.001,0.0001,0.0,6696.6,638.9
lora,late,cifar100,42,371812,86170468,0.4315,90.96,91.1,20,0.001,0.0001,0.0,2834.2,446.2
lora,early,cifar100,43,371812,86170468,0.4315,91.62,91.71,20,0.001,0.0001,0.0,6694.8,636.3
lora,mid,cifar100,43,371812,86170468,0.4315,91.22,92.0,20,0.001,0.0001,0.0,4765.9,545.0
lora,even,cifar100,43,371812,86170468,0.4315,91.5,92.63,20,0.001,0.0001,0.0,6696.6,637.9
lora,late,cifar100,43,371812,86170468,0.4315,90.4,90.85,20,0.001,0.0001,0.0,2834.2,432.9
lora,early,cifar100,44,371812,86170468,0.4315,92.52,92.06,20,0.001,0.0001,0.0,6694.8,638.6
lora,mid,cifar100,44,371812,86170468,0.4315,92.42,92.48,20,0.001,0.0001,0.0,4765.9,536.4
lora,even,cifar100,44,371812,86170468,0.4315,92.7,92.59,20,0.001,0.0001,0.0,6696.6,639.2
lora,late,cifar100,44,371812,86170468,0.4315,91.58,91.08,20,0.001,0.0001,0.0,2834.2,434.2
