epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.2862,1.33,2.287,0.0001,6.1,6679.1
2,4.3748,3.777,9.309,0.0002,4.5,6679.1
3,3.1801,21.33,31.17,0.0003,4.6,6679.1
4,2.0478,50.266,52.5,0.0004,4.7,6679.1
5,1.177,70.957,64.202,0.0005,5.0,6679.1
6,0.7396,79.681,69.202,0.0006,4.6,6679.1
7,0.4969,86.383,71.011,0.0007,4.6,6679.1
8,0.3345,91.17,73.138,0.0008,4.9,6679.1
9,0.2358,94.415,74.574,0.0009,4.8,6679.1
10,0.1722,96.915,74.734,0.001,4.6,6679.1
11,0.1186,98.351,76.064,0.000995,4.6,6679.1
12,0.0847,99.309,75.904,0.000977,4.6,6679.1
13,0.0687,99.628,76.489,0.000948,4.6,6679.1
14,0.055,99.787,76.17,0.000908,4.7,6679.1
15,0.0489,99.84,77.287,0.000857,4.6,6679.1
16,0.043,99.894,76.649,0.000798,4.6,6679.1
17,0.0352,99.947,77.181,0.000732,4.8,6679.1
18,0.0347,99.947,77.5,0.00066,4.6,6679.1
19,0.0329,99.947,77.181,0.000584,5.0,6679.1
20,0.0287,99.947,77.074,0.000506,5.1,6679.1
21,0.0267,100.0,77.34,0.000428,4.9,6679.1
22,0.0244,99.894,77.34,0.000351,4.8,6679.1
23,0.0247,99.894,76.968,0.000278,4.7,6679.1
24,0.0234,100.0,77.181,0.000211,4.7,6679.1
25,0.022,100.0,77.234,0.000151,4.8,6679.1
26,0.0223,100.0,77.234,9.9e-05,5.1,6679.1
27,0.0227,100.0,77.394,5.8e-05,4.8,6679.1
28,0.0202,100.0,77.394,2.7e-05,4.6,6679.1
29,0.0214,99.894,77.394,8e-06,4.7,6679.1
30,0.0207,100.0,77.394,1e-06,4.9,6679.1
