epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.2853,1.862,1.862,1e-06,6.4,10153.2
2,4.9419,2.606,2.606,2e-06,4.9,10153.2
3,4.4445,4.202,4.096,3e-06,5.2,10153.2
4,4.1535,4.947,6.223,4e-06,5.2,10153.2
5,3.9099,7.287,12.394,5e-06,5.0,10153.2
6,3.655,12.5,22.447,6e-06,5.0,10153.2
7,3.3087,19.947,33.298,7e-06,5.1,10153.2
8,2.914,29.734,45.053,8e-06,5.2,10153.2
9,2.4547,38.883,52.287,9e-06,5.1,10153.2
10,2.0365,48.723,58.883,1e-05,5.0,10153.2
11,1.6764,58.138,63.777,1e-05,5.0,10153.2
12,1.4302,63.191,66.649,1e-05,5.1,10153.2
13,1.2648,67.606,68.989,1e-05,5.2,10153.2
14,1.0391,73.138,69.84,9e-06,5.0,10153.2
15,0.9521,76.223,70.904,9e-06,5.2,10153.2
16,0.8488,78.298,70.904,8e-06,5.0,10153.2
17,0.8029,80.691,72.553,8e-06,5.1,10153.2
18,0.7266,81.17,73.138,7e-06,5.1,10153.2
19,0.6391,83.723,73.298,6e-06,5.0,10153.2
20,0.6006,85.638,73.777,6e-06,5.1,10153.2
21,0.5923,85.16,73.883,5e-06,5.2,10153.2
22,0.5262,87.5,74.362,4e-06,5.0,10153.2
23,0.4994,88.989,74.255,3e-06,5.2,10153.2
24,0.5052,88.564,74.309,3e-06,5.2,10153.2
25,0.5021,87.872,74.255,2e-06,4.9,10153.2
26,0.4848,88.245,74.255,2e-06,5.0,10153.2
27,0.4909,88.457,74.468,2e-06,5.1,10153.2
28,0.4485,90.0,74.521,1e-06,5.0,10153.2
29,0.4409,90.479,74.681,1e-06,5.1,10153.2
30,0.4449,89.734,74.681,1e-06,5.2,10153.2
