epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,4.2211,10.372,39.255,0.001,5.4,1757.7
2,1.2988,66.489,69.734,0.002,4.4,1757.7
3,0.3913,88.245,73.83,0.003,4.3,1757.7
4,0.1565,95.532,74.255,0.004,4.8,1757.7
5,0.0592,98.67,75.372,0.005,4.2,1757.7
6,0.0352,99.202,75.585,0.006,4.2,1757.7
7,0.03,99.255,75.053,0.007,4.3,1757.7
8,0.0233,99.468,74.255,0.008,4.2,1757.7
9,0.0183,99.681,74.202,0.009,4.2,1757.7
10,0.0282,99.096,74.894,0.01,4.2,1757.7
11,0.021,99.362,75.106,0.009946,4.7,1757.7
12,0.0258,99.309,74.84,0.009771,4.8,1757.7
13,0.0442,98.936,74.309,0.009479,4.2,1757.7
14,0.0504,98.351,72.5,0.009076,4.2,1757.7
15,0.0663,98.032,72.553,0.008573,4.3,1757.7
16,0.0764,98.245,72.606,0.007981,4.2,1757.7
17,0.067,98.191,72.926,0.007317,4.2,1757.7
18,0.063,98.777,73.138,0.006595,4.2,1757.7
19,0.0419,99.043,72.606,0.005834,4.2,1757.7
20,0.0319,99.149,73.457,0.005053,4.5,1757.7
21,0.0165,99.574,73.936,0.00427,4.4,1757.7
22,0.006,99.894,73.511,0.003505,4.2,1757.7
23,0.005,99.894,74.415,0.002778,4.2,1757.7
24,0.0042,99.84,74.362,0.002104,4.2,1757.7
25,0.0032,99.947,74.415,0.001503,4.2,1757.7
26,0.0031,99.947,74.415,0.000987,4.2,1757.7
27,0.0018,100.0,74.415,0.00057,4.2,1757.7
28,0.0015,100.0,74.415,0.000262,4.8,1757.7
29,0.0008,100.0,74.415,7.1e-05,4.2,1757.7
30,0.0022,100.0,74.415,1e-06,4.3,1757.7
