epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,4.1633,20.264,69.5,0.0001,33.5,6686.5
2,0.6546,84.173,89.32,0.0002,31.7,6686.5
3,0.3455,90.122,90.64,0.0003,32.0,6686.5
4,0.2764,91.52,90.98,0.0004,32.1,6686.5
5,0.2327,92.853,91.14,0.0005,32.0,6686.5
6,0.2087,93.451,90.96,0.0006,32.0,6686.5
7,0.1852,94.129,91.12,0.0007,32.1,6686.5
8,0.1638,94.644,90.94,0.0008,31.8,6686.5
9,0.155,95.0,90.82,0.0009,32.0,6686.5
10,0.1545,94.969,90.82,0.001,32.2,6686.5
11,0.1407,95.429,90.8,0.000976,32.0,6686.5
12,0.1304,95.689,90.76,0.000905,32.2,6686.5
13,0.1115,96.329,91.06,0.000794,32.0,6686.5
14,0.0977,96.831,91.3,0.000655,32.0,6686.5
15,0.0761,97.476,91.26,0.000501,32.3,6686.5
16,0.0617,98.047,91.68,0.000347,31.9,6686.5
17,0.0552,98.2,91.56,0.000207,32.1,6686.5
18,0.0448,98.62,91.78,9.7e-05,31.7,6686.5
19,0.043,98.607,91.74,2.6e-05,31.9,6686.5
20,0.0373,98.873,91.72,1e-06,31.9,6686.5
