epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.2959,1.33,1.968,0.0001,6.0,5238.3
2,4.4993,4.043,8.191,0.0002,4.7,5238.3
3,3.241,20.851,31.17,0.0003,4.6,5238.3
4,1.9799,50.904,54.149,0.0004,4.5,5238.3
5,1.0821,71.915,65.904,0.0005,4.5,5238.3
6,0.6614,82.819,70.745,0.0006,4.6,5238.3
7,0.4281,88.777,73.138,0.0007,4.7,5238.3
8,0.2808,93.83,74.787,0.0008,4.6,5238.3
9,0.187,96.968,75.0,0.0009,4.6,5238.3
10,0.1239,98.298,75.798,0.001,4.6,5238.3
11,0.0846,99.309,75.106,0.000995,4.6,5238.3
12,0.0644,99.574,76.117,0.000977,4.6,5238.3
13,0.0484,99.734,76.702,0.000948,4.6,5238.3
14,0.0369,99.84,76.862,0.000908,4.7,5238.3
15,0.0303,99.947,77.34,0.000857,4.6,5238.3
16,0.0249,99.947,77.181,0.000798,4.6,5238.3
17,0.0206,100.0,77.34,0.000732,4.5,5238.3
18,0.0202,99.947,77.34,0.00066,4.5,5238.3
19,0.0192,100.0,77.021,0.000584,4.5,5238.3
20,0.0176,99.947,77.181,0.000506,4.6,5238.3
21,0.0138,100.0,77.553,0.000428,4.6,5238.3
22,0.0135,100.0,77.606,0.000351,4.5,5238.3
23,0.0125,100.0,77.5,0.000278,4.6,5238.3
24,0.0121,100.0,77.394,0.000211,4.5,5238.3
25,0.0121,100.0,77.128,0.000151,4.5,5238.3
26,0.0119,100.0,77.34,9.9e-05,4.6,5238.3
27,0.0115,100.0,77.553,5.8e-05,4.7,5238.3
28,0.012,100.0,77.5,2.7e-05,4.6,5238.3
29,0.0114,100.0,77.5,8e-06,4.5,5238.3
30,0.0113,100.0,77.5,1e-06,4.5,5238.3
