epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,6.1694,0.98,2.157,0.0001,4.9,6683.8
2,5.3888,2.843,6.176,0.0002,3.9,6683.8
3,3.8953,14.216,33.137,0.0003,3.9,6683.8
4,2.1048,59.216,78.725,0.0004,4.2,6683.8
5,0.6533,93.333,95.098,0.0005,4.1,6683.8
6,0.1315,99.216,98.333,0.0006,4.1,6683.8
7,0.0304,99.902,99.118,0.0007,4.0,6683.8
8,0.012,100.0,99.118,0.0008,3.9,6683.8
9,0.0064,100.0,99.314,0.0009,3.9,6683.8
10,0.0045,100.0,99.314,0.001,4.1,6683.8
11,0.0035,100.0,99.314,0.000995,3.9,6683.8
12,0.0029,100.0,99.314,0.000978,3.9,6683.8
13,0.0025,100.0,99.314,0.00095,4.1,6683.8
14,0.0025,100.0,99.314,0.00091,4.0,6683.8
15,0.0025,100.0,99.314,0.000861,3.9,6683.8
16,0.0021,100.0,99.314,0.000802,4.0,6683.8
17,0.0021,100.0,99.314,0.000736,4.0,6683.8
18,0.0019,100.0,99.314,0.000664,3.9,6683.8
19,0.002,100.0,99.314,0.000588,3.9,6683.8
20,0.002,100.0,99.314,0.00051,4.1,6683.8
21,0.0018,100.0,99.314,0.000432,3.7,6683.8
22,0.0022,100.0,99.314,0.000356,3.9,6683.8
23,0.0017,100.0,99.314,0.000283,3.8,6683.8
24,0.0019,100.0,99.314,0.000215,3.9,6683.8
25,0.0016,100.0,99.314,0.000154,3.9,6683.8
26,0.0018,100.0,99.314,0.000102,3.9,6683.8
27,0.0017,100.0,99.314,6e-05,4.1,6683.8
28,0.0017,100.0,99.314,2.9e-05,3.9,6683.8
29,0.0017,100.0,99.314,9e-06,4.1,6683.8
30,0.0016,100.0,99.314,1e-06,4.0,6683.8
