epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.3038,1.33,1.862,0.0001,5.9,6684.6
2,4.5596,3.67,7.394,0.0002,4.5,6684.6
3,3.3384,18.883,28.564,0.0003,4.7,6684.6
4,2.0987,46.596,51.064,0.0004,4.5,6684.6
5,1.2162,69.574,63.085,0.0005,4.6,6684.6
6,0.7533,81.064,68.457,0.0006,4.7,6684.6
7,0.4966,87.128,71.17,0.0007,4.6,6684.6
8,0.3502,91.649,73.351,0.0008,4.6,6684.6
9,0.2383,95.745,74.309,0.0009,4.6,6684.6
10,0.166,97.5,74.628,0.001,4.6,6684.6
11,0.1087,99.255,75.213,0.000995,4.6,6684.6
12,0.085,99.574,75.0,0.000977,4.7,6684.6
13,0.0686,99.681,75.426,0.000948,4.6,6684.6
14,0.0525,99.947,76.223,0.000908,4.6,6684.6
15,0.0441,99.84,76.543,0.000857,4.6,6684.6
16,0.0389,99.947,76.33,0.000798,4.7,6684.6
17,0.0351,99.84,76.809,0.000732,4.6,6684.6
18,0.0322,100.0,76.543,0.00066,4.6,6684.6
19,0.0301,100.0,76.489,0.000584,4.5,6684.6
20,0.0283,99.947,76.968,0.000506,4.6,6684.6
21,0.023,100.0,77.021,0.000428,4.7,6684.6
22,0.0223,100.0,76.755,0.000351,4.9,6684.6
23,0.0227,100.0,77.074,0.000278,4.7,6684.6
24,0.0199,100.0,77.128,0.000211,4.7,6684.6
25,0.0202,100.0,76.968,0.000151,4.6,6684.6
26,0.0203,100.0,76.809,9.9e-05,4.7,6684.6
27,0.0196,100.0,76.702,5.8e-05,4.6,6684.6
28,0.0206,100.0,76.755,2.7e-05,4.7,6684.6
29,0.019,100.0,76.809,8e-06,4.5,6684.6
30,0.0195,100.0,76.755,1e-06,4.6,6684.6
