epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.1071,2.181,2.5,0.0001,5.8,6686.4
2,4.3282,5.479,10.691,0.0002,4.6,6686.4
3,3.0763,24.947,34.362,0.0003,4.7,6686.4
4,1.8873,53.564,54.84,0.0004,4.6,6686.4
5,1.0809,71.915,65.851,0.0005,4.7,6686.4
6,0.654,82.872,70.691,0.0006,4.7,6686.4
7,0.4138,89.574,72.819,0.0007,4.7,6686.4
8,0.2647,93.777,74.096,0.0008,4.8,6686.4
9,0.1743,96.968,75.0,0.0009,4.6,6686.4
10,0.119,98.457,75.851,0.001,4.7,6686.4
11,0.0846,99.255,75.957,0.000995,4.6,6686.4
12,0.0625,99.574,76.383,0.000977,4.8,6686.4
13,0.0465,99.681,76.33,0.000948,4.6,6686.4
14,0.0357,99.894,76.968,0.000908,4.6,6686.4
15,0.0281,99.894,76.968,0.000857,4.7,6686.4
16,0.023,100.0,77.021,0.000798,4.9,6686.4
17,0.021,100.0,77.181,0.000732,4.6,6686.4
18,0.019,100.0,77.128,0.00066,4.5,6686.4
19,0.0176,100.0,77.447,0.000584,4.7,6686.4
20,0.0159,100.0,77.021,0.000506,4.7,6686.4
21,0.0154,100.0,77.34,0.000428,4.6,6686.4
22,0.0155,99.894,77.394,0.000351,4.6,6686.4
23,0.0141,100.0,77.553,0.000278,4.6,6686.4
24,0.0127,100.0,77.447,0.000211,4.6,6686.4
25,0.0124,100.0,77.553,0.000151,4.6,6686.4
26,0.0124,100.0,77.606,9.9e-05,4.7,6686.4
27,0.0124,100.0,77.606,5.8e-05,4.6,6686.4
28,0.0114,100.0,77.606,2.7e-05,4.7,6686.4
29,0.0119,100.0,77.606,8e-06,4.6,6686.4
30,0.0124,100.0,77.606,1e-06,4.5,6686.4
