epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.2963,1.33,2.021,0.0001,5.5,2824.9
2,4.4949,3.989,8.404,0.0002,4.2,2824.9
3,3.1429,22.713,34.894,0.0003,4.4,2824.9
4,1.7632,55.372,58.138,0.0004,4.2,2824.9
5,0.9269,74.947,68.989,0.0005,4.3,2824.9
6,0.544,84.415,72.979,0.0006,4.4,2824.9
7,0.3334,91.011,73.298,0.0007,4.3,2824.9
8,0.2137,94.362,73.936,0.0008,4.4,2824.9
9,0.1509,97.234,74.415,0.0009,4.3,2824.9
10,0.103,98.191,75.372,0.001,4.3,2824.9
11,0.0733,99.202,75.372,0.000995,4.2,2824.9
12,0.0584,99.309,75.0,0.000977,4.3,2824.9
13,0.0437,99.574,75.904,0.000948,4.3,2824.9
14,0.0285,99.84,75.957,0.000908,4.6,2824.9
15,0.0219,99.894,76.33,0.000857,4.4,2824.9
16,0.0177,99.894,76.755,0.000798,4.3,2824.9
17,0.0156,100.0,76.17,0.000732,4.4,2824.9
18,0.0147,99.947,76.596,0.00066,4.3,2824.9
19,0.0132,100.0,76.649,0.000584,4.3,2824.9
20,0.0127,100.0,76.862,0.000506,4.4,2824.9
21,0.0098,100.0,76.596,0.000428,4.3,2824.9
22,0.0097,100.0,76.755,0.000351,4.3,2824.9
23,0.0103,99.947,76.489,0.000278,4.4,2824.9
24,0.0084,100.0,76.543,0.000211,4.3,2824.9
25,0.0093,100.0,77.021,0.000151,4.3,2824.9
26,0.0084,100.0,76.968,9.9e-05,4.3,2824.9
27,0.0093,99.947,77.021,5.8e-05,4.3,2824.9
28,0.0091,99.947,77.021,2.7e-05,4.2,2824.9
29,0.0083,100.0,77.074,8e-06,4.3,2824.9
30,0.0086,100.0,77.074,1e-06,4.3,2824.9
