epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.1092,1.809,2.606,0.0001,5.7,4755.7
2,4.3348,5.479,10.745,0.0002,4.4,4755.7
3,3.1017,24.255,35.957,0.0003,4.6,4755.7
4,1.91,53.777,55.426,0.0004,4.8,4755.7
5,1.0707,71.223,66.596,0.0005,4.6,4755.7
6,0.6403,83.191,70.426,0.0006,4.4,4755.7
7,0.426,88.989,71.543,0.0007,4.5,4755.7
8,0.2777,93.245,73.511,0.0008,4.6,4755.7
9,0.175,97.287,74.521,0.0009,4.5,4755.7
10,0.1143,98.511,75.0,0.001,4.4,4755.7
11,0.0839,98.989,75.691,0.000995,4.6,4755.7
12,0.0578,99.787,76.277,0.000977,4.5,4755.7
13,0.0436,99.84,75.957,0.000948,4.5,4755.7
14,0.0336,99.947,76.33,0.000908,4.5,4755.7
15,0.0298,99.947,77.021,0.000857,4.4,4755.7
16,0.0254,99.947,77.074,0.000798,4.6,4755.7
17,0.0199,99.947,76.543,0.000732,4.4,4755.7
18,0.0186,100.0,77.287,0.00066,4.5,4755.7
19,0.016,100.0,77.606,0.000584,4.5,4755.7
20,0.0146,100.0,77.074,0.000506,4.5,4755.7
21,0.0133,100.0,77.074,0.000428,4.6,4755.7
22,0.0127,100.0,77.234,0.000351,4.8,4755.7
23,0.0123,99.947,77.287,0.000278,4.5,4755.7
24,0.0116,99.947,77.34,0.000211,4.5,4755.7
25,0.0119,99.947,77.394,0.000151,4.4,4755.7
26,0.0119,100.0,77.5,9.9e-05,4.6,4755.7
27,0.0106,100.0,77.5,5.8e-05,4.4,4755.7
28,0.012,99.947,77.447,2.7e-05,4.7,4755.7
29,0.0118,99.947,77.5,8e-06,4.5,4755.7
30,0.0137,99.947,77.447,1e-06,4.4,4755.7
