epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.283,1.17,2.021,0.0001,6.2,6991.6
2,4.3969,4.255,9.894,0.0002,4.8,6991.6
3,3.0568,23.989,36.649,0.0003,5.1,6991.6
4,1.6933,58.191,60.851,0.0004,5.0,6991.6
5,0.8232,76.915,70.266,0.0005,4.9,6991.6
6,0.4676,86.489,73.67,0.0006,4.7,6991.6
7,0.2694,93.511,74.309,0.0007,4.7,6991.6
8,0.1661,96.489,75.319,0.0008,4.9,6991.6
9,0.1063,98.191,75.585,0.0009,4.9,6991.6
10,0.0666,99.415,76.649,0.001,5.1,6991.6
11,0.0459,99.628,76.223,0.000995,4.8,6991.6
12,0.0298,99.947,76.33,0.000977,4.9,6991.6
13,0.02,99.947,76.862,0.000948,4.9,6991.6
14,0.0171,99.947,76.915,0.000908,4.9,6991.6
15,0.0151,99.947,76.809,0.000857,5.0,6991.6
16,0.0151,99.894,76.277,0.000798,5.2,6991.6
17,0.0233,99.734,77.34,0.000732,5.2,6991.6
18,0.013,99.947,77.394,0.00066,4.7,6991.6
19,0.0091,100.0,77.447,0.000584,4.9,6991.6
20,0.0088,99.894,77.074,0.000506,4.8,6991.6
21,0.0066,100.0,77.181,0.000428,5.1,6991.6
22,0.0062,100.0,77.394,0.000351,4.9,6991.6
23,0.006,100.0,77.447,0.000278,4.9,6991.6
24,0.0052,100.0,77.5,0.000211,4.8,6991.6
25,0.0058,99.947,77.606,0.000151,4.9,6991.6
26,0.0052,100.0,77.447,9.9e-05,4.8,6991.6
27,0.0051,100.0,77.553,5.8e-05,4.8,6991.6
28,0.0049,100.0,77.553,2.7e-05,4.7,6991.6
29,0.0048,100.0,77.5,8e-06,4.6,6991.6
30,0.0049,100.0,77.5,1e-06,4.9,6991.6
