epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0802,2.234,2.713,0.0001,6.5,9172.8
2,4.3005,5.851,10.16,0.0002,4.9,9172.8
3,3.1354,22.819,32.872,0.0003,5.1,9172.8
4,2.0293,51.011,51.33,0.0004,5.0,9172.8
5,1.2472,68.511,62.66,0.0005,5.1,9172.8
6,0.7821,80.16,68.032,0.0006,5.0,9172.8
7,0.5285,86.436,70.426,0.0007,5.2,9172.8
8,0.353,91.755,72.074,0.0008,5.2,9172.8
9,0.2554,95.0,72.979,0.0009,5.2,9172.8
10,0.1847,96.915,73.83,0.001,5.2,9172.8
11,0.1384,98.191,74.202,0.000995,5.3,9172.8
12,0.101,98.989,74.255,0.000977,5.2,9172.8
13,0.078,99.415,74.628,0.000948,5.1,9172.8
14,0.0643,99.947,74.734,0.000908,5.3,9172.8
15,0.0564,99.84,74.84,0.000857,5.2,9172.8
16,0.0496,99.734,74.947,0.000798,5.1,9172.8
17,0.0445,99.787,75.585,0.000732,5.3,9172.8
18,0.0401,99.787,75.319,0.00066,5.2,9172.8
19,0.0361,100.0,75.638,0.000584,5.1,9172.8
20,0.0345,99.947,75.691,0.000506,5.3,9172.8
21,0.0343,99.947,75.266,0.000428,5.3,9172.8
22,0.0309,100.0,75.585,0.000351,5.2,9172.8
23,0.0283,100.0,75.798,0.000278,5.0,9172.8
24,0.0295,99.947,75.638,0.000211,5.1,9172.8
25,0.0273,100.0,75.585,0.000151,5.1,9172.8
26,0.028,99.947,75.691,9.9e-05,5.2,9172.8
27,0.0263,100.0,75.691,5.8e-05,5.2,9172.8
28,0.0257,100.0,75.745,2.7e-05,5.1,9172.8
29,0.0254,100.0,75.745,8e-06,5.4,9172.8
30,0.027,100.0,75.745,1e-06,5.3,9172.8
