epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.096,2.128,2.394,0.0001,6.5,9176.6
2,4.2694,6.33,11.17,0.0002,5.0,9176.6
3,3.0668,24.787,35.0,0.0003,5.0,9176.6
4,1.9243,52.606,53.67,0.0004,5.2,9176.6
5,1.1662,71.543,63.67,0.0005,5.1,9176.6
6,0.7439,80.904,69.149,0.0006,5.3,9176.6
7,0.5099,87.287,71.915,0.0007,5.2,9176.6
8,0.3538,91.968,73.67,0.0008,5.2,9176.6
9,0.2509,94.84,73.989,0.0009,5.1,9176.6
10,0.1752,96.862,74.468,0.001,5.2,9176.6
11,0.1247,98.298,74.255,0.000995,5.1,9176.6
12,0.0986,99.255,74.787,0.000977,5.1,9176.6
13,0.0781,99.468,75.106,0.000948,5.2,9176.6
14,0.0647,99.734,75.745,0.000908,5.2,9176.6
15,0.055,99.894,75.851,0.000857,5.3,9176.6
16,0.0458,99.84,76.064,0.000798,5.1,9176.6
17,0.0429,99.894,76.596,0.000732,5.4,9176.6
18,0.039,99.947,76.33,0.00066,5.1,9176.6
19,0.0379,99.84,76.383,0.000584,5.1,9176.6
20,0.032,100.0,76.596,0.000506,5.1,9176.6
21,0.0319,99.947,76.33,0.000428,5.3,9176.6
22,0.0293,99.894,76.489,0.000351,5.3,9176.6
23,0.0288,100.0,76.277,0.000278,5.3,9176.6
24,0.027,100.0,76.33,0.000211,5.1,9176.6
25,0.0257,99.894,76.436,0.000151,5.1,9176.6
26,0.0268,100.0,76.383,9.9e-05,5.1,9176.6
27,0.0256,100.0,76.436,5.8e-05,5.2,9176.6
28,0.0258,99.947,76.543,2.7e-05,5.2,9176.6
29,0.0259,99.947,76.489,8e-06,5.1,9176.6
30,0.0255,99.947,76.489,1e-06,5.2,9176.6
