epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.312,1.277,2.074,0.0001,5.9,5741.2
2,4.5185,3.245,8.191,0.0002,4.7,5741.2
3,3.2327,20.053,30.851,0.0003,4.9,5741.2
4,1.9955,49.734,52.926,0.0004,4.9,5741.2
5,1.197,69.681,63.936,0.0005,4.7,5741.2
6,0.7804,79.202,68.351,0.0006,4.8,5741.2
7,0.5399,85.798,71.17,0.0007,4.8,5741.2
8,0.36,91.649,72.394,0.0008,5.0,5741.2
9,0.2658,94.255,72.926,0.0009,4.8,5741.2
10,0.1918,96.702,73.936,0.001,4.7,5741.2
11,0.1313,98.245,74.681,0.000995,4.9,5741.2
12,0.0988,99.149,74.468,0.000977,4.8,5741.2
13,0.0842,99.415,75.372,0.000948,4.7,5741.2
14,0.0682,99.521,75.319,0.000908,4.8,5741.2
15,0.0598,99.628,75.851,0.000857,4.8,5741.2
16,0.0509,99.84,76.011,0.000798,4.8,5741.2
17,0.0454,99.734,76.011,0.000732,4.9,5741.2
18,0.0417,99.787,76.33,0.00066,4.7,5741.2
19,0.0383,99.894,76.33,0.000584,4.9,5741.2
20,0.0341,99.947,76.383,0.000506,4.8,5741.2
21,0.0345,99.894,76.383,0.000428,4.8,5741.2
22,0.0298,99.947,76.277,0.000351,4.8,5741.2
23,0.0293,99.894,76.596,0.000278,4.8,5741.2
24,0.0288,99.894,76.702,0.000211,4.8,5741.2
25,0.0278,100.0,76.649,0.000151,4.9,5741.2
26,0.0282,99.947,76.596,9.9e-05,4.9,5741.2
27,0.0288,99.947,76.649,5.8e-05,4.8,5741.2
28,0.0257,99.947,76.702,2.7e-05,4.9,5741.2
29,0.0266,99.947,76.702,8e-06,4.9,5741.2
30,0.0266,100.0,76.649,1e-06,4.9,5741.2
