epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0728,2.234,2.872,0.0001,6.2,7244.2
2,4.262,5.745,11.596,0.0002,4.8,7244.2
3,3.0658,25.16,34.947,0.0003,5.0,7244.2
4,1.9331,52.872,53.191,0.0004,4.8,7244.2
5,1.1581,70.372,64.894,0.0005,4.9,7244.2
6,0.7198,81.436,69.574,0.0006,5.0,7244.2
7,0.4843,87.447,72.5,0.0007,5.0,7244.2
8,0.3268,92.287,72.872,0.0008,4.8,7244.2
9,0.2361,94.468,73.989,0.0009,5.1,7244.2
10,0.1733,97.234,74.202,0.001,4.8,7244.2
11,0.1295,97.819,75.213,0.000995,5.0,7244.2
12,0.0928,99.149,75.638,0.000977,4.9,7244.2
13,0.0734,99.415,75.638,0.000948,5.1,7244.2
14,0.0585,100.0,75.798,0.000908,4.8,7244.2
15,0.0507,99.947,76.064,0.000857,4.9,7244.2
16,0.0457,99.734,76.117,0.000798,4.9,7244.2
17,0.0398,99.894,76.489,0.000732,5.0,7244.2
18,0.037,99.894,76.436,0.00066,4.9,7244.2
19,0.0322,100.0,76.755,0.000584,5.0,7244.2
20,0.0311,99.947,76.489,0.000506,4.9,7244.2
21,0.03,99.947,76.383,0.000428,5.0,7244.2
22,0.0273,100.0,76.596,0.000351,4.9,7244.2
23,0.0255,100.0,76.596,0.000278,4.9,7244.2
24,0.0271,99.947,76.649,0.000211,5.0,7244.2
25,0.0247,100.0,76.702,0.000151,4.9,7244.2
26,0.0241,100.0,76.702,9.9e-05,5.0,7244.2
27,0.0233,100.0,76.649,5.8e-05,5.0,7244.2
28,0.023,100.0,76.649,2.7e-05,4.9,7244.2
29,0.0217,100.0,76.649,8e-06,5.0,7244.2
30,0.0242,100.0,76.649,1e-06,5.0,7244.2
