epoch,train_loss,train_acc,val_acc,lr,time_s,peak_mem_mb
1,5.0471,2.234,2.553,0.0001,7.7,14881.1
2,4.1017,7.234,12.394,0.0002,6.2,14881.1
3,2.9709,28.138,37.074,0.0003,6.4,14881.1
4,1.8125,55.638,55.319,0.0004,6.5,14881.1
5,1.0513,73.723,65.638,0.0005,6.5,14881.1
6,0.652,82.553,70.372,0.0006,6.3,14881.1
7,0.4441,89.255,72.713,0.0007,6.5,14881.1
8,0.3058,92.606,74.043,0.0008,6.4,14881.1
9,0.217,95.319,74.947,0.0009,6.4,14881.1
10,0.1472,97.394,74.628,0.001,6.6,14881.1
11,0.1043,98.883,74.947,0.000995,6.4,14881.1
12,0.0827,99.096,75.16,0.000977,6.5,14881.1
13,0.0627,99.468,76.543,0.000948,6.2,14881.1
14,0.0516,99.787,76.702,0.000908,6.4,14881.1
15,0.0417,99.947,76.33,0.000857,6.5,14881.1
16,0.0354,99.894,76.915,0.000798,6.2,14881.1
17,0.0312,99.947,76.915,0.000732,6.6,14881.1
18,0.0283,99.947,77.021,0.00066,6.6,14881.1
19,0.0265,99.947,77.34,0.000584,6.3,14881.1
20,0.0232,100.0,76.809,0.000506,6.5,14881.1
21,0.0229,99.947,77.5,0.000428,6.6,14881.1
22,0.0216,99.947,77.5,0.000351,6.2,14881.1
23,0.0212,100.0,77.553,0.000278,6.5,14881.1
24,0.0197,100.0,77.819,0.000211,6.5,14881.1
25,0.019,100.0,77.766,0.000151,6.3,14881.1
26,0.0196,100.0,77.926,9.9e-05,6.5,14881.1
27,0.0182,100.0,77.926,5.8e-05,6.5,14881.1
28,0.019,99.947,77.979,2.7e-05,6.4,14881.1
29,0.0185,100.0,77.979,8e-06,6.4,14881.1
30,0.0181,99.947,77.979,1e-06,6.5,14881.1
