method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
linear,all,dtd,42,36143,85834799,0.0421,75.585,77.021,30,0.01,0.0001,0.0,1757.7,131.5
bitfit,all,dtd,42,139055,85834799,0.162,76.809,77.447,30,0.001,0.0001,0.0,6678.8,142.2
full,all,dtd,42,85834799,85834799,100.0,74.309,75.585,30,1e-05,0.05,0.1,10153.2,156.4
lora,all,dtd,42,331055,86129711,0.3844,77.34,79.043,30,0.001,0.0001,0.0,6991.6,148.3
ssf,all,dtd,42,238895,86037551,0.2777,76.649,78.032,30,0.001,0.0005,0.0,14881.1,198.1
lora,early,dtd,42,134447,85933103,0.1565,76.436,76.702,30,0.001,0.0001,0.0,6684.6,143.1
lora,mid,dtd,42,134447,85933103,0.1565,77.606,77.713,30,0.001,0.0001,0.0,4755.7,138.8
lora,late,dtd,42,134447,85933103,0.1565,77.181,79.096,30,0.001,0.0001,0.0,2824.9,134.4
lora,even,dtd,42,134447,85933103,0.1565,77.074,77.872,30,0.001,0.0001,0.0,6686.4,145.0
ssf,early,dtd,42,103727,85902383,0.1207,75.798,77.181,30,0.001,0.0005,0.0,9172.8,158.8
ssf,mid,dtd,42,103727,85902383,0.1207,76.755,77.394,30,0.001,0.0005,0.0,7244.2,151.4
ssf,late,dtd,42,103727,85902383,0.1207,76.383,77.447,30,0.001,0.0005,0.0,5741.2,145.7
ssf,even,dtd,42,103727,85902383,0.1207,76.543,77.181,30,0.001,0.0005,0.0,9176.6,157.1
linear,all,dtd,43,36143,85834799,0.0421,75.957,77.34,30,0.01,0.0001,0.0,1757.7,130.0
bitfit,all,dtd,43,139055,85834799,0.162,76.968,77.606,30,0.001,0.0001,0.0,6678.8,142.1
full,all,dtd,43,85834799,85834799,100.0,74.681,77.713,30,1e-05,0.05,0.1,10153.2,156.8
lora,all,dtd,43,331055,86129711,0.3844,78.83,79.096,30,0.001,0.0001,0.0,6991.6,148.7
ssf,all,dtd,43,238895,86037551,0.2777,77.979,78.351,30,0.001,0.0005,0.0,14881.1,196.3
lora,early,dtd,43,134447,85933103,0.1565,75.638,77.128,30,0.001,0.0001,0.0,6684.6,144.4
lora,mid,dtd,43,134447,85933103,0.1565,77.447,78.457,30,0.001,0.0001,0.0,4755.7,139.2
lora,late,dtd,43,134447,85933103,0.1565,77.021,78.83,30,0.001,0.0001,0.0,2824.9,136.3
lora,even,dtd,43,134447,85933103,0.1565,77.606,78.457,30,0.001,0.0001,0.0,6686.4,142.8
ssf,early,dtd,43,103727,85902383,0.1207,75.798,77.128,30,0.001,0.0005,0.0,9172.8,157.6
ssf,mid,dtd,43,103727,85902383,0.1207,76.33,77.074,30,0.001,0.0005,0.0,7244.2,151.9
ssf,late,dtd,43,103727,85902383,0.1207,76.277,76.543,30,0.001,0.0005,0.0,5741.2,146.5
ssf,even,dtd,43,103727,85902383,0.1207,76.596,77.447,30,0.001,0.0005,0.0,9176.6,158.5
linear,all,dtd,44,36143,85834799,0.0421,75.319,76.755,30,0.01,0.0001,0.0,1757.7,132.0
bitfit,all,dtd,44,139055,85834799,0.162,77.5,77.394,30,0.001,0.0001,0.0,6679.1,145.3
full,all,dtd,44,85834799,85834799,100.0,73.457,75.479,30,1e-05,0.05,0.1,10153.2,153.6
lora,all,dtd,44,331055,86129711,0.3844,77.606,79.043,30,0.001,0.0001,0.0,6991.6,150.5
ssf,all,dtd,44,238895,86037551,0.2777,77.66,77.447,30,0.001,0.0005,0.0,14881.1,194.6
lora,early,dtd,44,134447,85933103,0.1565,77.128,77.447,30,0.001,0.0001,0.0,6684.6,142.1
lora,mid,dtd,44,134447,85933103,0.1565,77.34,77.926,30,0.001,0.0001,0.0,4755.7,135.5
lora,late,dtd,44,134447,85933103,0.1565,77.074,79.628,30,0.001,0.0001,0.0,2824.9,132.5
lora,even,dtd,44,134447,85933103,0.1565,77.66,77.606,30,0.001,0.0001,0.0,6686.4,142.7
ssf,early,dtd,44,103727,85902383,0.1207,76.702,76.809,30,0.001,0.0005,0.0,9172.8,160.6
ssf,mid,dtd,44,103727,85902383,0.1207,77.766,77.34,30,0.001,0.0005,0.0,7244.2,154.8
ssf,late,dtd,44,103727,85902383,0.1207,76.702,77.394,30,0.001,0.0005,0.0,5741.2,148.0
ssf,even,dtd,44,103727,85902383,0.1207,77.819,77.128,30,0.001,0.0005,0.0,9176.6,160.8
lora,auto,cifar100,42,175204,85973860,0.2038,92.32,91.86,20,0.001,0.0001,0.0,6686.5,639.4
lora,auto,cifar100,43,175204,85973860,0.2038,91.78,92.21,20,0.001,0.0001,0.0,6686.5,642.7
lora,auto,cifar100,44,175204,85973860,0.2038,92.46,91.83,20,0.001,0.0001,0.0,6686.5,640.3
lora,auto,flowers,42,176742,85975398,0.2056,99.314,99.073,30,0.001,0.0001,0.0,6683.8,120.8
lora,auto,flowers,43,176742,85975398,0.2056,99.51,99.431,30,0.001,0.0001,0.0,6689.0,121.9
lora,auto,flowers,44,176742,85975398,0.2056,99.412,99.284,30,0.001,0.0001,0.0,3791.4,118.1
lora,auto,dtd,42,134447,85933103,0.1565,76.862,77.872,30,0.001,0.0001,0.0,5238.3,140.0
lora,auto,dtd,43,134447,85933103,0.1565,75.691,77.447,30,0.001,0.0001,0.0,6205.3,142.2
lora,auto,dtd,44,134447,85933103,0.1565,77.606,77.872,30,0.001,0.0001,0.0,5238.3,140.8
