method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
bitfit,all,cifar100,42,179812,85875556,0.2094,93.04,92.9,20,0.001,0.0001,0.0,6679.5,1296.9
bitfit,all,cifar100,43,179812,85875556,0.2094,92.18,92.72,20,0.001,0.0001,0.0,6679.5,662.8
bitfit,all,cifar100,44,179812,85875556,0.2094,92.64,92.34,20,0.001,0.0001,0.0,6679.5,660.9
full,all,cifar100,42,85875556,85875556,100.0,93.48,93.43,20,1e-05,0.05,0.1,10153.9,1715.9
full,all,cifar100,43,85875556,85875556,100.0,92.34,93.42,20,1e-05,0.05,0.1,10153.9,854.4
full,all,cifar100,44,85875556,85875556,100.0,93.3,93.19,20,1e-05,0.05,0.1,10153.9,854.7
linear,all,cifar100,42,76900,85875556,0.0895,87.06,87.0,20,0.01,0.0001,0.0,1758.4,395.5
linear,all,cifar100,43,76900,85875556,0.0895,85.34,86.78,20,0.01,0.0001,0.0,1758.4,381.6
linear,all,cifar100,44,76900,85875556,0.0895,87.3,87.26,20,0.01,0.0001,0.0,1758.4,384.1
lora,all,cifar100,42,371812,86170468,0.4315,93.0,92.54,20,0.001,0.0001,0.0,6992.3,695.5
lora,all,cifar100,43,371812,86170468,0.4315,91.66,92.48,20,0.001,0.0001,0.0,6992.3,1378.8
lora,all,cifar100,44,371812,86170468,0.4315,92.86,92.66,20,0.001,0.0001,0.0,6992.3,1374.9
lora,early,cifar100,42,175204,85973860,0.2038,92.38,92.38,20,0.001,0.0001,0.0,6685.3,635.1
lora,early,cifar100,43,175204,85973860,0.2038,91.68,92.03,20,0.001,0.0001,0.0,6685.3,1247.5
lora,early,cifar100,44,175204,85973860,0.2038,92.58,92.26,20,0.001,0.0001,0.0,6685.3,1240.2
lora,even,cifar100,42,175204,85973860,0.2038,92.58,92.48,20,0.001,0.0001,0.0,6687.1,1254.3
lora,even,cifar100,43,175204,85973860,0.2038,91.62,92.29,20,0.001,0.0001,0.0,6687.1,1260.6
lora,even,cifar100,44,175204,85973860,0.2038,92.74,92.36,20,0.001,0.0001,0.0,6687.1,1260.9
lora,late,cifar100,42,175204,85973860,0.2038,90.72,91.03,20,0.001,0.0001,0.0,2825.5,780.9
lora,late,cifar100,43,175204,85973860,0.2038,89.66,90.94,20,0.001,0.0001,0.0,2825.5,838.4
lora,late,cifar100,44,175204,85973860,0.2038,91.1,90.75,20,0.001,0.0001,0.0,2825.5,821.1
lora,mid,cifar100,42,175204,85973860,0.2038,92.42,91.82,20,0.001,0.0001,0.0,4756.4,1026.7
lora,mid,cifar100,43,175204,85973860,0.2038,91.2,92.23,20,0.001,0.0001,0.0,4756.4,1016.2
lora,mid,cifar100,44,175204,85973860,0.2038,92.6,92.11,20,0.001,0.0001,0.0,4756.4,1038.0
ssf,all,cifar100,42,279652,86078308,0.3249,93.32,92.94,20,0.001,0.0005,0.0,14881.8,2614.1
ssf,all,cifar100,43,279652,86078308,0.3249,92.38,92.8,20,0.001,0.0005,0.0,14881.8,2591.3
ssf,all,cifar100,44,279652,86078308,0.3249,92.92,92.61,20,0.001,0.0005,0.0,14881.8,2602.9
ssf,early,cifar100,42,144484,85943140,0.1681,92.64,91.76,20,0.001,0.0005,0.0,9173.2,1713.3
ssf,early,cifar100,43,144484,85943140,0.1681,91.86,92.43,20,0.001,0.0005,0.0,9173.2,1712.0
ssf,early,cifar100,44,144484,85943140,0.1681,92.6,92.41,20,0.001,0.0005,0.0,9173.2,1715.6
ssf,even,cifar100,42,144484,85943140,0.1681,92.76,92.68,20,0.001,0.0005,0.0,9177.3,1667.9
ssf,even,cifar100,43,144484,85943140,0.1681,92.12,92.29,20,0.001,0.0005,0.0,9177.3,1669.9
ssf,even,cifar100,44,144484,85943140,0.1681,92.96,92.95,20,0.001,0.0005,0.0,9177.3,1645.6
ssf,late,cifar100,42,144484,85943140,0.1681,90.56,90.46,20,0.001,0.0005,0.0,5741.8,1243.7
ssf,late,cifar100,43,144484,85943140,0.1681,89.64,90.75,20,0.001,0.0005,0.0,5741.8,1242.4
ssf,late,cifar100,44,144484,85943140,0.1681,90.58,89.98,20,0.001,0.0005,0.0,5741.8,1242.0
ssf,mid,cifar100,42,144484,85943140,0.1681,92.74,92.53,20,0.001,0.0005,0.0,7244.8,1459.8
ssf,mid,cifar100,43,144484,85943140,0.1681,91.84,92.59,20,0.001,0.0005,0.0,7244.8,1456.8
ssf,mid,cifar100,44,144484,85943140,0.1681,92.58,92.64,20,0.001,0.0005,0.0,7244.8,1458.8
bitfit,all,flowers,42,181350,85877094,0.2112,99.314,98.927,30,0.001,0.0001,0.0,6679.5,124.0
bitfit,all,flowers,43,181350,85877094,0.2112,99.51,99.219,30,0.001,0.0001,0.0,6679.5,125.8
bitfit,all,flowers,44,181350,85877094,0.2112,99.216,99.203,30,0.001,0.0001,0.0,6679.5,125.8
full,all,flowers,42,85877094,85877094,100.0,96.275,95.999,30,1e-05,0.05,0.1,10153.9,130.6
full,all,flowers,43,85877094,85877094,100.0,97.353,96.536,30,1e-05,0.05,0.1,10153.9,129.8
full,all,flowers,44,85877094,85877094,100.0,96.176,94.812,30,1e-05,0.05,0.1,10153.9,131.5
linear,all,flowers,42,78438,85877094,0.0913,99.412,98.553,30,0.01,0.0001,0.0,1758.4,114.7
linear,all,flowers,43,78438,85877094,0.0913,99.51,99.024,30,0.01,0.0001,0.0,1758.4,113.4
linear,all,flowers,44,78438,85877094,0.0913,99.314,98.975,30,0.01,0.0001,0.0,1758.4,114.5
lora,all,flowers,42,373350,86172006,0.4333,99.51,99.154,30,0.001,0.0001,0.0,6992.3,127.5
lora,all,flowers,43,373350,86172006,0.4333,99.608,99.463,30,0.001,0.0001,0.0,6992.3,128.8
lora,all,flowers,44,373350,86172006,0.4333,99.51,99.317,30,0.001,0.0001,0.0,6992.3,126.8
lora,early,flowers,42,176742,85975398,0.2056,99.412,98.813,30,0.001,0.0001,0.0,6685.3,131.2
lora,early,flowers,43,176742,85975398,0.2056,99.51,99.008,30,0.001,0.0001,0.0,6685.3,126.1
lora,early,flowers,44,176742,85975398,0.2056,99.314,99.154,30,0.001,0.0001,0.0,6685.3,127.4
lora,even,flowers,42,176742,85975398,0.2056,99.51,99.122,30,0.001,0.0001,0.0,6687.1,126.8
lora,even,flowers,43,176742,85975398,0.2056,99.51,99.333,30,0.001,0.0001,0.0,6687.1,125.5
lora,even,flowers,44,176742,85975398,0.2056,99.51,99.333,30,0.001,0.0001,0.0,6687.1,125.4
lora,late,flowers,42,176742,85975398,0.2056,99.51,99.073,30,0.001,0.0001,0.0,2825.5,122.6
lora,late,flowers,43,176742,85975398,0.2056,99.51,99.317,30,0.001,0.0001,0.0,2825.5,122.8
lora,late,flowers,44,176742,85975398,0.2056,99.608,99.366,30,0.001,0.0001,0.0,2825.5,123.9
lora,mid,flowers,42,176742,85975398,0.2056,99.51,99.187,30,0.001,0.0001,0.0,4756.4,125.8
lora,mid,flowers,43,176742,85975398,0.2056,99.412,99.301,30,0.001,0.0001,0.0,4756.4,125.5
lora,mid,flowers,44,176742,85975398,0.2056,99.51,99.301,30,0.001,0.0001,0.0,4756.4,124.8
ssf,all,flowers,42,281190,86079846,0.3267,99.412,99.138,30,0.001,0.0005,0.0,14881.8,145.2
ssf,all,flowers,43,281190,86079846,0.3267,99.51,99.219,30,0.001,0.0005,0.0,14881.8,146.0
ssf,all,flowers,44,281190,86079846,0.3267,99.314,99.301,30,0.001,0.0005,0.0,14881.8,146.2
ssf,early,flowers,42,146022,85944678,0.1699,99.412,98.943,30,0.001,0.0005,0.0,9173.2,132.5
ssf,early,flowers,43,146022,85944678,0.1699,99.51,99.106,30,0.001,0.0005,0.0,9173.2,132.7
ssf,early,flowers,44,146022,85944678,0.1699,99.216,99.057,30,0.001,0.0005,0.0,9173.2,131.8
ssf,even,flowers,42,146022,85944678,0.1699,99.412,99.057,30,0.001,0.0005,0.0,9177.3,131.6
