method,placement,dataset,seed,trainable,total,pct,best_val,test_acc,epochs,lr,wd,drop_path,peak_mem_mb,train_time_s
lora,all,cifar100,42,185956,21851620,0.851,90.8,90.99,20,0.001,0.0001,0.0,3442.9,402.6
lora,early,cifar100,42,87652,21753316,0.4029,90.56,90.26,20,0.001,0.0001,0.0,3276.7,385.1
lora,mid,cifar100,42,87652,21753316,0.4029,89.96,90.02,20,0.001,0.0001,0.0,2322.7,392.7
lora,even,cifar100,42,87652,21753316,0.4029,90.66,90.62,20,0.001,0.0001,0.0,3272.7,387.4
lora,late,cifar100,42,87652,21753316,0.4029,88.42,88.51,20,0.001,0.0001,0.0,1370.4,391.8
lora,all,flowers,42,186726,21852390,0.8545,99.02,99.284,30,0.001,0.0001,0.0,3442.9,111.6
lora,early,flowers,42,88422,21754086,0.4065,99.216,98.927,30,0.001,0.0001,0.0,3276.7,110.2
lora,mid,flowers,42,88422,21754086,0.4065,99.02,99.089,30,0.001,0.0001,0.0,2322.7,109.7
lora,even,flowers,42,88422,21754086,0.4065,99.118,99.252,30,0.001,0.0001,0.0,3272.7,110.9
lora,late,flowers,42,88422,21754086,0.4065,99.118,99.268,30,0.001,0.0001,0.0,1370.4,109.4
lora,all,cifar100,43,185956,21851620,0.851,90.46,90.99,20,0.001,0.0001,0.0,3442.9,385.5
lora,early,cifar100,43,87652,21753316,0.4029,90.04,90.35,20,0.001,0.0001,0.0,3276.7,385.3
lora,mid,cifar100,43,87652,21753316,0.4029,89.7,89.99,20,0.001,0.0001,0.0,2322.7,390.1
lora,even,cifar100,43,87652,21753316,0.4029,90.42,90.42,20,0.001,0.0001,0.0,3272.7,386.8
lora,late,cifar100,43,87652,21753316,0.4029,87.98,88.72,20,0.001,0.0001,0.0,1370.4,390.5
lora,all,flowers,43,186726,21852390,0.8545,99.412,99.106,30,0.001,0.0001,0.0,3442.9,113.4
lora,early,flowers,43,88422,21754086,0.4065,99.216,99.268,30,0.001,0.0001,0.0,3276.7,111.1
lora,mid,flowers,43,88422,21754086,0.4065,99.216,98.943,30,0.001,0.0001,0.0,2322.7,110.1
lora,even,flowers,43,88422,21754086,0.4065,99.412,99.122,30,0.001,0.0001,0.0,3272.7,109.8
lora,late,flowers,43,88422,21754086,0.4065,99.314,99.073,30,0.001,0.0001,0.0,1370.4,109.7
lora,all,cifar100,44,185956,21851620,0.851,91.34,90.91,20,0.001,0.0001,0.0,3442.9,391.8
lora,early,cifar100,44,87652,21753316,0.4029,90.64,90.02,20,0.001,0.0001,0.0,3276.7,391.7
lora,mid,cifar100,44,87652,21753316,0.4029,90.32,90.16,20,0.001,0.0001,0.0,2322.7,391.6
lora,even,cifar100,44,87652,21753316,0.4029,90.4,89.87,20,0.001,0.0001,0.0,3272.7,391.0
lora,late,cifar100,44,87652,21753316,0.4029,88.34,87.57,20,0.001,0.0001,0.0,1370.4,391.2
lora,all,flowers,44,186726,21852390,0.8545,99.118,99.366,30,0.001,0.0001,0.0,3442.9,110.6
lora,early,flowers,44,88422,21754086,0.4065,99.118,99.171,30,0.001,0.0001,0.0,3276.7,110.7
lora,mid,flowers,44,88422,21754086,0.4065,98.922,99.187,30,0.001,0.0001,0.0,2322.7,110.1
lora,even,flowers,44,88422,21754086,0.4065,99.216,99.333,30,0.001,0.0001,0.0,3272.7,112.4
lora,late,flowers,44,88422,21754086,0.4065,99.216,99.333,30,0.001,0.0001,0.0,1370.4,110.5
